"STATION","NAME","DATE","TMAX","TMIN"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-01","43","29"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-02","36","29"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-03","36","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-04","35","24"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-05","36","19"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-06","34","21"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-07","39","17"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-08","47","18"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-09","45","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-10","48","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-11","48","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-12","47","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-13","49","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-14","48","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-15","44","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-16","43","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-17","46","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-18","47","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-19","47","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-20","48","41"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-21","49","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-22","47","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-23","48","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-24","47","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-25","47","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-26","46","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-27","41","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-28","42","29"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-29","38","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-30","38","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-01-31","50","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-01","48","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-02","45","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-03","44","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-04","40","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-05","40","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-06","44","26"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-07","45","28"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-08","42","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-09","40","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-10","39","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-11","34","25"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-12","35","29"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-13","36","25"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-14","36","25"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-15","37","20"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-16","40","24"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-17","44","24"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-18","49","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-19","50","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-20","51","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-21","49","38"
